fid,name,定义
1,一次能源,一次能源是指自然界中以原有形式存在的、未经加工转换的能量资源，又称 天然能源 ，如煤炭、石油、天然气、水能等。
2,二次能源,二次能源是一次能源经过加工，转化成另一种形态的能源。主要有电力、焦炭、煤气、沼气、蒸汽、热水和汽油、煤油、柴油、重油等石油制品。
3,煤炭,煤炭是古代植物埋藏在地下经历了复杂的生物化学和物理化学变化逐渐形成的固体可燃性矿物。
4,焦炭,焦炭是固体燃料的一种。由煤在约1000℃的高温条件下经干馏而获得。主要成分为固定碳，其次为灰分，所含挥发分和硫分均甚少。呈银灰色，具金属光泽。质硬而多孔。
5,原油,习惯上把未经加工处理的石油称为原油。一种黑褐色并带有绿色荧光，具有特殊气味的粘稠性油状液体，是烷烃、环烷烃、 芳香烃和烯烃等多种液态烃的混合物。
6,石油,石油是指气态、液态和固态的烃类混合物，具有天然的产状。石油又分为原油、天然气、天然气液及天然焦油等形式，但习惯上仍将“石油”作为“原油”的定义用。
7,汽油,汽油，是从石油里分馏、裂解出来的具有挥发性、可燃性的烃类混合物液体，可用作燃料。外观为透明液体，可燃，馏程为30℃至220℃，主要成分为C5～C12脂肪烃和环烷烃，以及一定量芳香烃，汽油具有较高的辛烷值（抗爆震燃烧性能），并按辛烷值的高低分为89号、90号、92号、93号、95号、97号、98号等牌号，2012年1月起，汽油牌号90号、93号、97号修改为89号、92号、95号。
8,煤油,煤油，又称火油、火水，是一种通过对石油进行分馏后获得的碳氢化合物的混合物。
9,柴油,柴油，是轻质石油产品，复杂烃类（碳原子数约10～22）混合物，为柴油机燃料，主要由原油蒸馏、催化裂化、热裂化、加氢裂化、石油焦化等过程生产的柴油馏分调配而成，也可由页岩油加工和煤液化制取，分为轻柴油（沸点范围约180～370℃）和重柴油（沸点范围约350～410℃）两大类。广泛用于大型车辆、铁路机车、船舰。
10,燃料油,大部分石油产品均可用作燃料，但燃料油在不同的地区却有不同的解释。欧洲对燃料油的概念一般是指原油经蒸馏而留下的黑色粘稠残余物，或它与较轻组分的掺和物，主要用作蒸汽炉及各种加热炉的燃料或作为大型慢速柴油燃料及作为各种工业燃料。但在美国则指任何闪点不低于37.8°C的可燃烧的液态或可液化的石油产品，它既可以是残渣燃料油（Residual Fuel Oil，亦称Heavy Fuel Oil）也可是馏分燃料油（Heating Oil）。馏分燃料油不仅可直接由蒸馏原油得到（即直馏馏分），也可由其它加工过程如裂化等再经蒸馏得到。
11,液化石油气,液化石油气是在炼油厂内，由天然气或者石油进行加压降温液化所得到的一种无色挥发性液体。它极易自燃，当其在空气中的含量达到了一定的浓度范围后，它遇到明火就能爆炸。
12,天然气,天然气是指自然界中天然存在的一切气体，包括大气圈、水圈、和岩石圈中各种自然过程形成的气体（包括油田气、气田气、泥火山气、煤层气和生物生成气等）。而人们长期以来通用的“天然气”的定义，是从能量角度出发的狭义定义，是指天然蕴藏于地层中的烃类和非烃类气体的混合物。在石油地质学中，通常指油田气和气田气。其组成以烃类为主，并含有非烃气体。
13,核能,核能（或称原子能）是通过核反应从原子核释放的能量，符合阿尔伯特·爱因斯坦的质能方程E=mc² ，其中E=能量，m=质量，c=光速。核能可通过三种核反应之一释放：1、核裂变，较重的原子核分裂释放结核能。2、核聚变，较轻的原子核聚合在一起释放结核能。3、核衰变，原子核自发衰变过程中释放能量。
14,风能,风能(wind energy) 空气流动所产生的动能。太阳能的一种转化形式。由于太阳辐射造成地球表面各部分受热不均匀，引起大气层中压力分布不平衡，在水平气压梯度的作用下，空气沿水平方向运动形成风。风能资源的总储量非常巨大，一年中技术可开发的能量约5.3X10^13千瓦时。风能是可再生的清洁能源，储量大、分布广，但它的能量密度低（只有水能的1/800），并且不稳定。在一定的技术条件下，风能可作为一种重要的能源得到开发利用。
15,太阳能,太阳能（solar energy），是一种可再生能源。是指太阳的热辐射能（参见热能传播的三种方式：辐射），主要表现就是常说的太阳光线。在现代一般用作发电或者为热水器提供能源。自地球上生命诞生以来，就主要以太阳提供的热辐射能生存，而自古人类也懂得以阳光晒干物件，并作为制作食物的方法，如制盐和晒咸鱼等。在化石燃料日趋减少的情况下，太阳能已成为人类使用能源的重要组成部分，并不断得到发展。太阳能的利用有光热转换和光电转换两种方式，太阳能发电是一种新兴的可再生能源。广义上的太阳能也包括地球上的风能、化学能、水能等。
16,水能,水能是一种能源，是清洁能源，是绿色能源，是指水体的动能、势能和压力能等能量资源。水能是一种可再生能源，水能主要用于水力发电。水力发电将水的势能和动能转换成电能。以水力发电的工厂称为水力发电厂，简称水电厂，又称水电站。水力发电的优点是成本低、可连续再生、无污染。缺点是分布受水文、气候、地貌等自然条件的限制大。容易被地形、气候等多方面的因素所影响，国家还在研究如何更好的利用水能。
17,生物质能,生物质能是自然界中有生命的植物提供的能量，这些植物以生物质作为媒介储存太阳能，属再生能源。据计算，生物质储存的能量比世界能源消费总量大2倍。人类历史上最早使用的能源是生物质能。19世纪后半期以前，人类利用的能源以薪柴为主。当前较为有效地利用生物质能的方式有： (1) 制取沼气。主要是利用城乡有机垃圾、秸秆、水、人畜粪便，通过厌氧消化产生可燃气体甲烷，供生活、生产之用。(2) 利用生物质制取酒精。当前的世界能源结构中，生物质能所占比重微乎其微。
18,海洋能,海洋能指依附在海水中的可再生能源，海洋通过各种物理过程接收、储存和散发能量，这些能量以潮汐能、波浪能、温差能、盐差能、海流能等形式存在于海洋之中。
19,地热能,地热能（Geothermal Energy）是由地壳抽取的天然热能，这种能量来自地球内部的熔岩，并以热力形式存在，是引致火山爆发及地震的能量。
20,潮汐能,潮汐能（tidal energy ） 海水周期性涨落运动中所具有的能量。其水位差表现为势能，其潮流的速度表现为动能。这两种能量都可以利用，是一种可再生能源。由于在海水的各种运动中潮汐最守信，最具规律性，又涨落于岸边，也最早为人们所认识和利用，在各种海洋能的利用中，潮汐能的利用是最成熟的。
21,电力,电力是以电能作为动力的能源。发现于19世纪70 年代，电力的发现和应用掀起了第二次工业化高潮。成为人类历史18世纪以来，世界发生的三次科技革命之一，从此科技改变了人们的生活。20世纪出现的大规模电力系统是人类工程科学史上最重要的成就之一，是由发电、输电、变电、配电和用电等环节组成的电力生产与消费系统。它将自然界的一次能源通过机械能装置转化成电力，再经输电、变电和配电将电力供应到各用户。
