城市名称,1月日照时数,2月日照时数,3月日照时数,4月日照时数,5月日照时数,6月日照时数,7月日照时数,8月日照时数,9月日照时数,10月日照时数,11月日照时数,12月日照时数,全年日照时数
北京,205.2小时,204.9小时,132.6小时,209.7小时,268.6小时,201.3小时,124.8小时,200.1小时,148.0小时,208.6小时,158.9小时,222.3小时,2285.0小时
天津,207.8小时,212.0小时,164.6小时,216.4小时,294.6小时,217.5小时,182.6小时,226.6小时,162.7小时,186.9小时,176.8小时,226.6小时,2475.1小时
石家庄,245.5小时,239.3小时,233.1小时,305.6小时,354.9小时,328.4小时,308.3小时,198.1小时,130.4小时,159.9小时,189.8小时,196.4小时,2889.7小时
太原,198.9小时,187.3小时,141.0小时,158.6小时,237.3小时,192.9小时,186.3小时,206.4小时,158.7小时,149.0小时,206.8小时,190.9小时,2214.1小时
呼和浩特,208.0小时,224.5小时,207.5小时,221.5小时,258.5小时,269.1小时,243.7小时,242.1小时,200.7小时,216.5小时,210.4小时,231.8小时,2734.3小时
沈阳,156.1小时,191.2小时,179.0小时,219.6小时,213.6小时,179.7小时,175.8小时,160.8小时,142.4小时,198.3小时,122.6小时,192.0小时,2131.1小时
大连,153.9小时,201.3小时,190.9小时,231.6小时,255.3小时,171.0小时,177.7小时,183.4小时,164.2小时,164.9小时,153.9小时,193.9小时,2242.0小时
长春,188.8小时,172.7小时,205.7小时,223.2小时,224.0小时,182.8小时,168.1小时,149.1小时,167.7小时,206.3小时,115.9小时,183.1小时,2187.4小时
哈尔滨,212.3小时,175.4小时,207.7小时,221.6小时,251.2小时,208.1小时,182.0小时,182.6小时,175.5小时,211.7小时,108.1小时,194.4小时,2330.6小时
上海,167.0小时,145.6小时,125.8小时,183.2小时,196.6小时,153.8小时,196.2小时,182.9小时,161.8小时,154.2小时,187.9小时,196.1小时,2051.1小时
南京,161.4小时,144.3小时,108.9小时,134.6小时,165.9小时,152.5小时,148.7小时,139.2小时,197.6小时,174.6小时,206.1小时,212.2小时,1946.0小时
